03:21:56.7316778	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:56.8780571	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:21:58.1765701	 From:192.168.166.54:41796 To:127.0.0.1:43309	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:21:58.1765701	 From:192.168.166.54:41796 To:127.0.0.1:43312	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:21:58.1951980	 From:192.168.166.54:41796 To:127.0.0.1:43312	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-32-00-31-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:21:58.1951980	 From:192.168.166.54:41796 To:127.0.0.1:43309	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-32-00-31-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:21:58.1951980	 From:192.168.166.54:41796 To:127.0.0.1:43312	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:21:58.1951980	 From:192.168.166.54:41796 To:127.0.0.1:43309	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:21:58.1951980	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-09
03:21:58.1961974	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-09
03:21:58.1961974	 From:192.168.166.54:41796 To:127.0.0.1:43312	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:21:58.1961974	 From:192.168.166.54:41796 To:127.0.0.1:43309	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:21:58.2308030	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F3
03:21:58.2318182	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F3
03:21:58.2328215	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-08
03:21:58.2328215	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-08
03:22:02.5817788	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:22:02.5817788	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:22:05.1529211	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F2
03:22:05.1529211	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F2
03:22:05.1550963	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-07
03:22:05.1550963	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-07
03:22:05.7651791	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:05.7832477	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:22:11.1971063	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3C-00-E8
03:22:11.1971063	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3C-00-E8
03:22:11.7336120	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:11.7547678	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:22:12.6110396	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:22:12.6110396	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:22:15.6045745	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-45-00-DA
03:22:15.6056097	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-45-00-DA
03:22:16.5046733	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-41-00-E4
03:22:16.5056757	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-41-00-E4
03:22:20.7667509	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:20.7845976	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:22:22.6644818	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-39-00-CA
03:22:22.6644818	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-39-00-CA
03:22:24.4383968	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3B-00-F0
03:22:24.4383968	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3B-00-F0
03:22:25.3292729	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3C-00-E7
03:22:25.3292729	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3C-00-E7
03:22:26.7333842	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:26.7512599	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:22:29.7364233	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-45-00-DB
03:22:29.7364233	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-45-00-DB
03:22:30.6298042	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-41-00-E3
